Ministry,Raw Category,amount_thousand_isk,normalized_category,amount_million_isk
fjarmalaraduneyti,A-hluti,23.0,nan,0.023
heilbrigdis- og tryggingamalaraduneyti,A-hluti,9.1,nan,0.0091
doms- og kirkjumalaraduneyti,A-hluti,30.0,nan,0.03
doms- og kirkjumalaraduneyti,A-hluti,3.1,nan,0.0031
heilbrigdis- og tryggingamalaraduneyti,A-hluti,32.0,nan,0.032
heilbrigdis- og tryggingamalaraduneyti,A-hluti,6.5,nan,0.0065
doms- og kirkjumalaraduneyti,A-hluti,0.9,nan,0.0009
heilbrigdis- og,A-hluti,0.3,nan,0.0003
"101 forsaetisraduneyti, adalskrifstofa ....",A-hluti,22.0,nan,0.022
heilbrigdis- og tryggingamalaraduneyti,A-hluti,2.0,nan,0.002
doms- og kirkjumalaraduneyti,A-hluti,291.0,nan,0.291
heilbrigdis- og,A-hluti,112344.0,nan,112.344
sjavarutvegsraduneyti,A-hluti,436.0,nan,0.436
"101 forsaetisraduneyti, adalskrifstofa ....",A-hluti,583.0,nan,0.583
menntamalaraduneyti,A-hluti,201.0,nan,0.201
utanrikisraduneyti,A-hluti,611.0,nan,0.611
landbunadarraduneyti,A-hluti,211.0,nan,0.211
sjavarutvegsraduneyti,A-hluti,204.0,nan,0.204
doms- og kirkjumalaraduneyti,A-hluti,303.0,nan,0.303
felagsmalaraduneyti,A-hluti,331.0,nan,0.331
heilbrigdis- og tryggingamalaraduneyti,A-hluti,204.0,nan,0.204
fjarmalaraduneyti,A-hluti,402.0,nan,0.402
samgonguraduneyti,A-hluti,101.0,nan,0.101
idnadarraduneyti,A-hluti,245.0,nan,0.245
vidskiptaraduneyti,A-hluti,190.0,nan,0.19
umhverfisraduneyti,A-hluti,211.0,nan,0.211
