Ministry,Raw Category,Amount
heilbrigdis- og tryggingamalaraduneyti,A-hluti,60.0
fjarmalaraduneyti,A-hluti,42.0
doms- og kirkjumalaraduneyti,A-hluti,22281.0
heilbrigdis- og tryggingamalaraduneyti,A-hluti,145201.0
doms- og kirkjumalaraduneyti,A-hluti,5.1
heilbrigdis- og,A-hluti,4.0
heilbrigdis- og,A-hluti,1.2
heilbrigdis- og,A-hluti,6.0
menntamalaraduneyti,A-hluti,2.0
doms- og kirkjumalaraduneyti,A-hluti,1.0
heilbrigdis- og,A-hluti,4855.0
heilbrigdis- og,A-hluti,507.0
heilbrigdis- og,A-hluti,7930.0
menntamalaraduneyti,A-hluti,201.0
utanrikisraduneyti,A-hluti,211.0
landbunadarraduneyti,A-hluti,234.0
sjavarutvegsraduneyti,A-hluti,204.0
doms- og kirkjumalaraduneyti,A-hluti,303.0
felagsmalaraduneyti,A-hluti,331.0
heilbrigdis- og tryggingamalaraduneyti,A-hluti,204.0
fjarmalaraduneyti,A-hluti,391.0
samgonguraduneyti,A-hluti,101.0
idnadarraduneyti,A-hluti,245.0
vidskiptaraduneyti,A-hluti,190.0
umhverfisraduneyti,A-hluti,211.0
